a;b;c;d;e;f;g;h;i;j
1.0926;0.3663;0.0317;0.2599;0.2411;0.4506;0.2668;0.0253;0.3684;0.7742
0.1104;0.2941;0.4839;0.1207;0.1796;0.4361;0.0163;0.2491;0.7134;0.4086
0.5232;0.2328;0.2874;0.1906;0.9341;0.5523;0.4436;0.1724;0.4748;0.1172
1.0998;0.2663;0.3862;0.9662;0.031;0.1079;0.4423;0.2553;0.9253;0.0608
0.1252;0.3662;0.8639;0.2983;0.1004;0.1178;1.2647;0.018;0.4618;0.692
0.1396;2.4545;0.077;0.6364;0.1461;0.0444;0.1894;0.9661;0.3049;1.0175
0.5783;0.7796;0.6476;0.8734;0.0249;0.4115;0.589;0.6861;0.3013;0.3788
0.0975;1.1705;0.1082;0.4533;0.1225;0.0597;0.2345;0.6517;0.1113;0.2879
0.1945;0.4529;0.0221;0.337;0.1012;0.0823;0.012;0.2909;0.4029;0.1889
0.3592;0.4121;0.0294;0.0062;1.1717;1.2459;0.2138;0.2652;0.1494;0.0318
0.5029;0.5117;0.0193;0.0464;0.2866;0.125;0.1668;0.0919;0.0005;0.7517
0.1558;1.2171;0.4748;0.6094;0.4376;0.7227;0.1663;0.177;0.4588;0.2379
0.3717;0.378;0.8172;1.366;0.0407;1.143;0.308;0.6124;0.7319;0.4992
0.0168;0.5839;0.0376;0.3691;0.381;0.0834;2.8035;0.2937;0.6344;1.1279
0.5517;0.6034;0.0879;0.2323;0.3147;0.2311;0.1187;0.0687;1.4426;0.126
0.0879;0.1811;0.3239;0.1664;0.7125;0.3544;0.2097;0.882;0.4564;0.0138
0.0192;0.9744;0.1587;0.6887;0.3837;0.3764;0.0814;1.1794;0.4267;0.1523
0.2022;0.613;0.4328;0.5475;1.2378;0.0593;0.0999;0.6679;0.6207;0.4355
0.0547;0.1618;0.0087;0.2;0.634;0.5455;1.6948;0.9511;0.63;0.2899
0.3215;0.5637;0.4734;0.3473;1.3455;0.7006;0.5935;0.229;0.586;0.0099
