a;b;c;d;e;f;g;h;i;j
0.0054;-1.206;-1.0945;-0.6038;-1.9171;0.6559;3.1601;2.3215;-0.2131;1.69
-3.2762;-2.1668;-0.9616;-0.0637;-0.0018;-3.4326;1.1465;-1.8645;-1.4254;-0.51
-2.6086;2.2747;0.2823;-1.3921;-1.74;1.0894;-0.318;-0.3374;-0.0297;-2.8329
1.7613;1.4387;-0.2434;-2.1334;-1.0177;-2.4202;-1.2955;-0.8613;-1.4735;-0.4311
-1.2338;-0.31;-2.4996;-0.6525;0.866;-1.1478;-2.3337;0.0815;-2.3772;-1.7441
-1.3118;-2.1854;-2.4218;-1.9215;-0.7592;-2.1776;1.5536;-1.2426;-0.5593;-0.3703
-0.8892;-0.6531;-5.1531;-2.3126;0.5019;-1.3681;-1.8703;-1.6759;-1.566;-0.2172
1.1098;-0.1361;-2.112;-2.1059;0.6242;-2.1045;-1.6247;-1.1468;-0.1162;-2.0852
-0.5836;-2.1708;-0.406;0.4;-1.0297;-2.2474;-1.103;-0.007;0.2898;0.1545
-1.025;-0.6954;0.0422;-2.7492;-1.0332;-0.0959;-0.8491;-0.6216;1.112;0.5114
-3.4971;-1.1621;-2.1053;-4.5448;-2.7498;-0.2763;-1.7919;-1.5537;0.6847;-4.3275
-0.1745;-1.6504;-1.0327;-1.8224;-1.7821;-0.3839;-1.4182;-2.6145;-0.8222;-1.6261
-1.4556;0.0053;-1.1956;-0.8238;-1.0639;-1.2467;-1.4377;-2.1662;0.6975;0.5
-0.7559;-1.384;0.3893;1.9015;0.4301;-0.7149;-0.426;-0.7909;-0.6294;1.3118
-1.1112;-2.8299;-1.9588;-2.0703;-3.5493;0.3809;-1.77;-3.6225;-1.6602;-0.4452
-1.7775;-0.9727;0.1616;-1.9573;-2.0215;-2.1535;-0.0089;-0.5554;-1.0469;-1.2181
-1.8538;-0.2608;-0.3394;0.0405;-0.581;-1.5098;0.2395;-2.6143;-0.1581;-2.4969
-2.1744;-2.2356;-0.1128;-2.1151;-1.8309;-1.8739;-2.1511;-0.5134;-1.3735;-1.755
-0.702;-1.4616;0.1132;0.7608;-1.9689;-1.1977;-1.548;-2.3208;-0.0779;-0.5909
-2.8815;-1.4314;-1.7223;-2.5419;-0.0671;0.8109;-1.169;-2.0622;1.9061;-3.2561
