a;b;c;d;e;f;g;h;i;j
-5.1531;-4.5448;-4.3275;-3.6225;-3.5493;-3.4971;-3.4326;-3.2762;-3.2561;-2.8815
-2.8329;-2.8299;-2.7498;-2.7492;-2.6145;-2.6143;-2.6086;-2.5419;-2.4996;-2.4969
-2.4218;-2.4202;-2.3772;-2.3337;-2.3208;-2.3126;-2.2474;-2.2356;-2.1854;-2.1776
-2.1744;-2.1708;-2.1668;-2.1662;-2.1535;-2.1511;-2.1334;-2.1151;-2.112;-2.1059
-2.1053;-2.1045;-2.0852;-2.0703;-2.0622;-2.0215;-1.9689;-1.9588;-1.9573;-1.9215
-1.9171;-1.8739;-1.8703;-1.8645;-1.8538;-1.8309;-1.8224;-1.7919;-1.7821;-1.7775
-1.77;-1.755;-1.7441;-1.74;-1.7223;-1.6759;-1.6602;-1.6504;-1.6261;-1.6247
-1.566;-1.5537;-1.548;-1.5098;-1.4735;-1.4616;-1.4556;-1.4377;-1.4314;-1.4254
-1.4182;-1.3921;-1.384;-1.3735;-1.3681;-1.3118;-1.2955;-1.2467;-1.2426;-1.2338
-1.2181;-1.206;-1.1977;-1.1956;-1.169;-1.1621;-1.1478;-1.1468;-1.1112;-1.103
-1.0945;-1.0639;-1.0469;-1.0332;-1.0327;-1.0297;-1.025;-1.0177;-0.9727;-0.9616
-0.8892;-0.8613;-0.8491;-0.8238;-0.8222;-0.7909;-0.7592;-0.7559;-0.7149;-0.702
-0.6954;-0.6531;-0.6525;-0.6294;-0.6216;-0.6038;-0.5909;-0.5836;-0.581;-0.5593
-0.5554;-0.5134;-0.51;-0.4452;-0.4311;-0.426;-0.406;-0.3839;-0.3703;-0.3394
-0.3374;-0.318;-0.31;-0.2763;-0.2608;-0.2434;-0.2172;-0.2131;-0.1745;-0.1581
-0.1361;-0.1162;-0.1128;-0.0959;-0.0779;-0.0671;-0.0637;-0.0297;-0.0089;-0.007
-0.0018;0.0053;0.0054;0.0405;0.0422;0.0815;0.1132;0.1545;0.1616;0.2395
0.2823;0.2898;0.3809;0.3893;0.4;0.4301;0.5;0.5019;0.5114;0.6242
0.6559;0.6847;0.6975;0.7608;0.8109;0.866;1.0894;1.1098;1.112;1.1465
1.3118;1.4387;1.5536;1.69;1.7613;1.9015;1.9061;2.2747;2.3215;3.1601
