a;b;c;d;e;f;g;h;i;j
-0.1375;0.3458;0.5186;0.3008;0.5311;-0.4123;0.0358;-0.1347;0.2798;-0.3736
-0.2411;0.5288;0.5085;-0.2646;0.4524;0.3351;0.0628;-0.0162;0.2736;0.0627
-0.2175;-0.0179;0.191;-0.1138;-0.3769;0.4278;0.0351;0.5141;-0.2142;0.3623
0.3829;-0.1192;-0.2881;0.3501;0.0121;-0.1385;-0.3478;0.2789;0.3773;-0.1794
-0.3638;-0.0057;0.5406;-0.3063;-0.3029;-0.43;0.2227;0.2988;0.2504;-0.0918
0.4313;-0.1752;0.3455;0.3863;0.135;0.4417;-0.3221;0.515;-0.0787;0.501
0.5206;-0.1343;-0.184;0.0526;0.256;-0.1551;-0.1833;-0.3315;0.4645;-0.2128
0.3623;0.3531;0.2415;0.2188;0.4706;-0.292;0.1785;-0.1667;0.1977;0.3198
-0.4273;0.2412;0.0833;0.0899;-0.1286;-0.0931;0.2716;-0.3841;-0.3533;0.4872
0.0233;-0.4448;-0.1029;0.3905;0.44;-0.2303;0.3822;-0.1592;0.4866;0.3961
0.1102;-0.0921;-0.2191;-0.0773;0.2849;-0.2308;0.1324;-0.0104;-0.3817;0.0195
-0.1351;-0.2425;0.0634;-0.0008;-0.1504;-0.0849;0.3379;0.2422;-0.2818;-0.0576
-0.4295;-0.2044;0.0882;0.4028;-0.3545;0.3439;-0.1299;-0.2516;0.2704;0.4668
0.0969;0.3146;0.087;0.4708;-0.2746;-0.2073;-0.3209;-0.2805;-0.2201;-0.2765
0.2388;0.3004;0.186;0.3231;0.2982;-0.1472;-0.0894;0.4522;-0.2966;-0.1218
0.5391;0.5152;0.1833;0.347;0.4625;-0.1661;-0.418;0.183;0.2746;-0.1203
-0.0192;-0.1907;0.2291;0.0496;-0.3748;0.2398;-0.0715;-0.4383;0.2209;-0.4013
0.0658;0.3476;0.0959;0.503;0.13;-0.0575;0.3071;0.3219;0.0676;0.0208
-0.3178;-0.1229;0.0693;0.4062;-0.1186;0.2399;-0.2286;-0.1922;0.012;0.5048
0.2664;-0.2087;0.4571;0.4347;0.2758;-0.0968;-0.3369;-0.3135;-0.0334;0.4394
