a;b;c;d;e;f;g;h;i;j
-0.1137;0.3759;-0.0166;-0.0408;0.3857;0.2836;0.466;0.3934;0.5453;0.5346
0.261;0.2027;0.1862;-0.26;0.0448;0.3082;0.2447;-0.314;0.3902;0.4897
0.1888;0.3789;-0.0835;0.5123;0.0142;0.1525;0.3087;0.3325;0.1178;-0.0226
-0.1369;-0.0347;-0.1431;0.1954;-0.4201;-0.4363;-0.2972;-0.2218;-0.0272;-0.445
-0.4487;0.3629;0.3858;0.4545;0.5455;0.3658;-0.3385;0.1617;-0.0984;-0.0418
-0.2853;0.3266;-0.2516;0.5467;0.1274;-0.3652;-0.0194;0.1392;-0.0986;0.5291
-0.1833;0.3492;-0.1039;0.1282;0.3757;-0.2896;0.4976;-0.4468;0.0266;-0.3814
0.0788;0.1778;0.4194;0.1997;0.3551;0.1706;0.1367;0.2097;-0.2703;-0.2777
0.3773;0.0196;0.4737;0.355;0.2877;0.5066;-0.3802;-0.4281;-0.2261;-0.1999
-0.0832;0.4396;0.5264;0.0711;-0.394;-0.2313;-0.0988;0.1667;-0.3326;0.0597
-0.1718;-0.1966;0.1409;-0.4442;-0.1584;-0.1061;0.387;0.4041;-0.3846;-0.2207
-0.0386;-0.1672;0.2705;-0.0885;0.3614;-0.2182;0.1598;0.4318;0.4035;0.004
0.3546;-0.4091;0.4812;-0.4139;-0.1022;-0.3902;0.1813;0.3306;-0.4178;0.0951
-0.03;0.3269;-0.1653;0.1693;-0.1471;-0.2493;0.1571;0.2508;-0.0874;-0.294
0.1846;-0.2599;0.3287;-0.1862;0.4147;-0.0011;-0.1412;0.1318;0.065;-0.0837
0.0252;0.5323;0.1981;-0.1486;0.3141;0.0447;0.1911;0.2215;0.2908;0.1337
-0.1015;-0.1163;-0.3042;0.3381;0.0651;-0.3709;-0.3868;0.4308;0.3444;-0.308
0.3883;0.4443;-0.3123;-0.2066;0.0189;-0.1377;0.5239;0.0422;0.3801;-0.0667
0.4889;-0.1784;0.5443;0.135;0.0957;0.2956;-0.4427;0.2862;-0.0222;-0.3697
-0.4436;0.3208;0.1623;-0.1658;0.4104;0.3761;-0.2669;-0.0421;0.5097;-0.2013
