a;b;c;d;e;f;g;h;i;j
0.7741;1.9751;4.9167;1.3741;0.9706;2.1148;0.5921;2.5107;2.8157;2.9328
2.3945;0.9645;3.0172;2.918;1.8904;0.5675;0.9178;1.9575;1.0501;1.1733
2.044;1.6977;1.278;1.0772;1.3496;1.4861;0.6034;1.582;1.839;1.2331
2.1209;0.8161;1.0494;0.8361;1.8763;2.2705;2.229;1.6048;1.6996;2.2702
0.7399;2.0142;1.0274;0.82;1.3193;1.8951;1.5966;0.5742;0.5531;1.9227
2.7368;0.6176;3.2029;2.2002;1.4283;0.859;8.1421;1.2411;0.561;1.0169
1.5876;1.4291;4.3861;0.7568;0.9749;0.5481;1.4123;2.4004;1.4312;0.674
2.1665;1.1486;2.4324;0.6684;1.0114;1.7163;0.9437;0.7869;2.0262;0.5782
1.5042;1.3446;2.3326;2.5733;0.9808;2.9792;1.6906;5.1585;1.1853;0.644
1.27;0.9064;2.1483;1.6265;0.6131;1.1702;1.2199;2.9828;3.5719;2.7807
1.4856;1.0648;0.5426;0.7964;1.0541;5.9394;0.7429;0.8103;1.8961;0.5261
1.6248;2.1596;2.875;2.9596;2.4873;1.0419;1.0823;0.6854;2.9896;2.3622
0.7942;1.2256;1.9481;2.3581;1.0373;1.3842;0.744;0.7335;2.0375;0.8538
0.9429;0.6857;3.1229;3.2772;1.8596;1.8382;1.1656;1.1736;0.5912;0.7183
0.5315;1.9388;0.6603;1.3231;1.5934;4.5081;0.8637;0.7801;0.5464;1.7318
1.6305;0.8879;0.9199;1.1802;1.8083;2.211;0.6183;0.6735;0.7343;1.2228
1.587;1.3489;1.1378;2.6968;0.6354;2.2001;1.3105;0.8747;1.1326;0.5946
0.6265;0.6823;1.1674;0.5753;2.6938;1.047;3.1257;2.0542;0.9743;1.317
0.6406;1.6532;1.1655;0.7416;0.6164;0.8356;0.8584;0.9209;0.9965;2.2912
0.7335;0.8182;1.2238;1.83;0.8629;6.2586;4.351;1.2147;1.2358;0.9151
