a;b;c;d;e;f;g;h;i;j
0.5261;0.5315;0.5426;0.5464;0.5481;0.5531;0.561;0.5675;0.5742;0.5753
0.5782;0.5912;0.5921;0.5946;0.6034;0.6131;0.6164;0.6176;0.6183;0.6265
0.6354;0.6406;0.644;0.6603;0.6684;0.6735;0.674;0.6823;0.6854;0.6857
0.7183;0.7335;0.7335;0.7343;0.7399;0.7416;0.7429;0.744;0.7568;0.7741
0.7801;0.7869;0.7942;0.7964;0.8103;0.8161;0.8182;0.82;0.8356;0.8361
0.8538;0.8584;0.859;0.8629;0.8637;0.8747;0.8879;0.9064;0.9151;0.9178
0.9199;0.9209;0.9429;0.9437;0.9645;0.9706;0.9743;0.9749;0.9808;0.9965
1.0114;1.0169;1.0274;1.0373;1.0419;1.047;1.0494;1.0501;1.0541;1.0648
1.0772;1.0823;1.1326;1.1378;1.1486;1.1655;1.1656;1.1674;1.1702;1.1733
1.1736;1.1802;1.1853;1.2147;1.2199;1.2228;1.2238;1.2256;1.2331;1.2358
1.2411;1.27;1.278;1.3105;1.317;1.3193;1.3231;1.3446;1.3489;1.3496
1.3741;1.3842;1.4123;1.4283;1.4291;1.4312;1.4856;1.4861;1.5042;1.582
1.587;1.5876;1.5934;1.5966;1.6048;1.6248;1.6265;1.6305;1.6532;1.6906
1.6977;1.6996;1.7163;1.7318;1.8083;1.83;1.8382;1.839;1.8596;1.8763
1.8904;1.8951;1.8961;1.9227;1.9388;1.9481;1.9575;1.9751;2.0142;2.0262
2.0375;2.044;2.0542;2.1148;2.1209;2.1483;2.1596;2.1665;2.2001;2.2002
2.211;2.229;2.2702;2.2705;2.2912;2.3326;2.3581;2.3622;2.3945;2.4004
2.4324;2.4873;2.5107;2.5733;2.6938;2.6968;2.7368;2.7807;2.8157;2.875
2.918;2.9328;2.9596;2.9792;2.9828;2.9896;3.0172;3.1229;3.1257;3.2029
3.2772;3.5719;4.351;4.3861;4.5081;4.9167;5.1585;5.9394;6.2586;8.1421
