a;b;c;d;e;f;g;h;i;j
-2.3993;-1.7389;-1.0815;-0.367;-2.2783;-0.9521;-0.7503;-0.4684;1.2362;-4.3891
0.5003;-0.9611;1.1335;1.7393;-1.5632;-1.195;1.0155;-0.1805;-0.5313;-1.7189
-0.4256;1.7407;-1.4188;1.9883;-0.5631;-1.0645;1.6165;-0.7016;1.0234;-0.5911
-1.0171;0.1872;0.3002;0.2194;-0.1107;-1.1168;-0.9981;-1.2533;-1.771;-0.4383
-0.0837;-1.2035;-1.8183;-1.1974;-1.9848;-0.7361;0.7764;-1.8143;-2.4063;-3.0379
-1.2366;-1.7665;-2.2777;-0.1955;-1.6133;-0.8561;-1.6656;0.592;0.6732;1.2875
0.3746;-2.1051;-0.6499;-0.2786;-1.1681;-2.3038;-0.7265;-0.4171;-0.1571;-0.4209
-2.8051;-0.3417;-0.7333;-2.6228;-2.6545;-0.7916;-2.092;-1.1276;1.1469;-1.3506
-0.8446;-0.6282;-0.9288;-1.839;-2.0139;0.3232;-0.8271;1.2948;-1.1434;-1.3287
0.228;1.8374;-0.7405;-1.6601;0.8237;0.7983;1.3889;-1.5207;-2.0826;0.686
-0.5588;-0.8706;-2.3069;-2.0911;-1.923;1.2686;-2.2256;-0.3076;0.2485;-1.2484
-0.5235;-2.9539;-1.0536;-2.1953;-0.7066;-0.6087;-2.4247;0.2568;-2.2132;0.3765
-1.8532;0.0716;-0.5872;-0.1795;0.0486;-1.1564;-1.3259;-1.5277;-1.1109;0.1741
-0.3926;-0.9021;-2.9507;-1.3225;-1.4424;-0.5541;-1.4745;0.6616;0.8837;-2.6601
-2.8266;-1.5187;0.363;-0.9947;0.0714;0.2922;-0.7713;-1.5418;0.6166;-2.9889
0.4297;-2.0705;-1.3904;-2.1019;-2.3529;-1.0709;-1.7198;0.6176;0.1304;-1.4186
-1.102;-0.2659;-0.7778;1.2523;-1.7577;-1.2658;-0.4072;-1.6394;-1.577;-0.981
0.0503;0.213;-1.0547;1.106;-1.2962;-1.0399;-0.3781;0.9283;-1.9113;0.9272
-1.4359;-2.5064;-0.0109;0.955;-1.1303;-1.0483;-2.0837;-2.2515;-1.4114;-2.4135
-0.6401;-0.1019;0.546;-2.8047;-2.1055;-0.9257;-0.9403;-1.3253;0.8394;0.4329
