a;b;c;d;e;f;g;h;i;j
-4.3891;-3.0379;-2.9889;-2.9539;-2.9507;-2.8266;-2.8051;-2.8047;-2.6601;-2.6545
-2.6228;-2.5064;-2.4247;-2.4135;-2.4063;-2.3993;-2.3529;-2.3069;-2.3038;-2.2783
-2.2777;-2.2515;-2.2256;-2.2132;-2.1953;-2.1055;-2.1051;-2.1019;-2.092;-2.0911
-2.0837;-2.0826;-2.0705;-2.0139;-1.9848;-1.923;-1.9113;-1.8532;-1.839;-1.8183
-1.8143;-1.771;-1.7665;-1.7577;-1.7389;-1.7198;-1.7189;-1.6656;-1.6601;-1.6394
-1.6133;-1.577;-1.5632;-1.5418;-1.5277;-1.5207;-1.5187;-1.4745;-1.4424;-1.4359
-1.4188;-1.4186;-1.4114;-1.3904;-1.3506;-1.3287;-1.3259;-1.3253;-1.3225;-1.2962
-1.2658;-1.2533;-1.2484;-1.2366;-1.2035;-1.1974;-1.195;-1.1681;-1.1564;-1.1434
-1.1303;-1.1276;-1.1168;-1.1109;-1.102;-1.0815;-1.0709;-1.0645;-1.0547;-1.0536
-1.0483;-1.0399;-1.0171;-0.9981;-0.9947;-0.981;-0.9611;-0.9521;-0.9403;-0.9288
-0.9257;-0.9021;-0.8706;-0.8561;-0.8446;-0.8271;-0.7916;-0.7778;-0.7713;-0.7503
-0.7405;-0.7361;-0.7333;-0.7265;-0.7066;-0.7016;-0.6499;-0.6401;-0.6282;-0.6087
-0.5911;-0.5872;-0.5631;-0.5588;-0.5541;-0.5313;-0.5235;-0.4684;-0.4383;-0.4256
-0.4209;-0.4171;-0.4072;-0.3926;-0.3781;-0.367;-0.3417;-0.3076;-0.2786;-0.2659
-0.1955;-0.1805;-0.1795;-0.1571;-0.1107;-0.1019;-0.0837;-0.0109;0.0486;0.0503
0.0714;0.0716;0.1304;0.1741;0.1872;0.213;0.2194;0.228;0.2485;0.2568
0.2922;0.3002;0.3232;0.363;0.3746;0.3765;0.4297;0.4329;0.5003;0.546
0.592;0.6166;0.6176;0.6616;0.6732;0.686;0.7764;0.7983;0.8237;0.8394
0.8837;0.9272;0.9283;0.955;1.0155;1.0234;1.106;1.1335;1.1469;1.2362
1.2523;1.2686;1.2875;1.2948;1.3889;1.6165;1.7393;1.7407;1.8374;1.9883
