a;b;c;d;e;f;g;h;i;j
-0.449;-0.4489;-0.4479;-0.4456;-0.4381;-0.4377;-0.4375;-0.4329;-0.4328;-0.4171
-0.4153;-0.4127;-0.4117;-0.4055;-0.4047;-0.4043;-0.3913;-0.3906;-0.389;-0.3795
-0.3722;-0.3708;-0.3666;-0.3621;-0.3482;-0.3454;-0.3427;-0.337;-0.3369;-0.3308
-0.3226;-0.3125;-0.3016;-0.2955;-0.2864;-0.2742;-0.2686;-0.2664;-0.2639;-0.2623
-0.2621;-0.2601;-0.2514;-0.2506;-0.2458;-0.2449;-0.2445;-0.2423;-0.2407;-0.2378
-0.2369;-0.2321;-0.2308;-0.2231;-0.2209;-0.2206;-0.2154;-0.2086;-0.1931;-0.1853
-0.18;-0.1734;-0.1704;-0.1563;-0.1548;-0.1462;-0.1456;-0.1225;-0.1189;-0.1114
-0.105;-0.0989;-0.0979;-0.0973;-0.0889;-0.0861;-0.0849;-0.0783;-0.0756;-0.064
-0.055;-0.0493;-0.0443;-0.0335;-0.0279;-0.0272;-0.0237;-0.0085;0.0053;0.0059
0.0128;0.0137;0.0138;0.0187;0.0264;0.0318;0.0326;0.0337;0.038;0.0434
0.0479;0.0487;0.0492;0.0571;0.0587;0.0612;0.0789;0.0807;0.0858;0.0929
0.0935;0.094;0.1027;0.1027;0.103;0.1034;0.1037;0.1081;0.1101;0.1113
0.113;0.1203;0.1217;0.1224;0.1251;0.13;0.1424;0.1442;0.1481;0.1558
0.1673;0.1716;0.172;0.1736;0.1822;0.1828;0.1909;0.1998;0.2043;0.2085
0.2113;0.2159;0.2193;0.2214;0.2215;0.2288;0.2473;0.2587;0.2636;0.264
0.2683;0.2695;0.2992;0.3021;0.3125;0.3181;0.3223;0.3225;0.3321;0.3406
0.3578;0.3609;0.361;0.3616;0.3621;0.3628;0.3628;0.3647;0.3688;0.3793
0.3824;0.3915;0.3969;0.4159;0.4218;0.4218;0.439;0.4401;0.4408;0.4438
0.4455;0.4495;0.4563;0.4603;0.4757;0.4813;0.4816;0.4913;0.4984;0.4986
0.5028;0.5066;0.5067;0.5169;0.5232;0.5236;0.533;0.5349;0.5352;0.5499
