a;b;c;d;e;f;g;h;i;j
0.0;0.0033;0.0046;0.0075;0.0094;0.0148;0.0189;0.0199;0.0199;0.0203
0.0264;0.0274;0.0394;0.0395;0.043;0.0435;0.0539;0.0549;0.0569;0.0572
0.059;0.0596;0.0596;0.0599;0.0637;0.0694;0.0719;0.0794;0.081;0.0822
0.1024;0.1038;0.107;0.1107;0.1119;0.1161;0.1221;0.1228;0.1272;0.1285
0.1291;0.1322;0.1325;0.1364;0.1392;0.1458;0.1499;0.1549;0.1599;0.1616
0.1713;0.1735;0.1788;0.1793;0.1822;0.1832;0.1856;0.1877;0.1886;0.1892
0.1947;0.2003;0.2006;0.2098;0.2118;0.2123;0.2134;0.2135;0.2288;0.2356
0.2359;0.2399;0.2412;0.2457;0.2461;0.2474;0.2487;0.2493;0.2563;0.2797
0.2802;0.2917;0.2943;0.2976;0.3019;0.306;0.3069;0.3073;0.31;0.3177
0.3292;0.3353;0.3355;0.3383;0.3412;0.3472;0.3514;0.3551;0.356;0.3774
0.3932;0.3945;0.3959;0.3992;0.4056;0.41;0.4144;0.4145;0.4208;0.4294
0.4305;0.4329;0.4331;0.4381;0.4568;0.4619;0.4646;0.4683;0.4794;0.4807
0.5036;0.5055;0.5138;0.5195;0.5289;0.5432;0.5432;0.5509;0.5869;0.6084
0.6128;0.623;0.6239;0.6247;0.6373;0.6499;0.65;0.6514;0.6554;0.6555
0.6694;0.6704;0.6802;0.6904;0.6968;0.6986;0.7004;0.7041;0.7071;0.7568
0.7586;0.7708;0.7756;0.7883;0.8117;0.8254;0.8277;0.8284;0.8374;0.8376
0.8486;0.8583;0.8597;0.8658;0.8953;0.9074;0.9355;0.9386;0.94;0.9861
0.9907;0.997;1.0087;1.0112;1.0156;1.0337;1.0493;1.0619;1.1135;1.1404
1.1467;1.2199;1.2252;1.2319;1.269;1.2783;1.5215;1.5283;1.5453;1.5731
1.601;1.612;1.6397;1.7557;1.7929;1.8194;1.8251;1.8329;1.9323;2.171
