a;b;c;d;e;f;g;h;i;j
-1.57;-0.9538;-2.2188;-1.1484;-0.2808;-1.1868;-0.0833;-2.7898;-1.7306;-2.8603
-0.1357;-1.7126;-1.8317;-3.0044;-0.1012;-2.2003;-1.2689;-3.5909;-3.5884;-1.9357
0.2774;-1.8832;-1.4917;-1.2257;-1.3976;-0.3904;0.1934;-0.6158;0.7428;-0.9975
-1.9311;-0.8742;0.804;0.4244;-1.5963;-0.8361;0.5713;-3.6929;-0.0097;-1.037
0.3469;-2.4197;-1.7048;1.1247;-0.6254;-1.04;-0.5096;-0.9176;-0.6771;-0.977
-0.8561;-2.3198;0.0502;-2.9814;-1.346;2.0981;-0.5977;1.451;0.308;-0.196
-0.3079;-3.6707;-0.9785;-2.2121;-0.1503;-0.8016;-2.7298;-0.3367;-1.4794;-0.6497
-2.1195;-0.3736;1.059;-0.7254;-0.3987;-1.575;-1.8588;0.6393;-0.0812;-0.6951
-1.8872;1.6007;-2.2062;-0.661;-1.0683;-2.152;-1.0015;-3.2858;-2.4364;-1.6443
-1.7483;-2.8879;-1.2983;-2.4957;-1.5611;-1.917;-0.1483;-0.5633;-2.4796;0.38
-0.7923;0.2236;-0.0316;-2.1106;-0.7264;-3.4457;-0.494;-0.5;1.192;-1.54
-0.5398;-0.7192;-0.2506;-1.2567;-1.3736;-3.7249;-0.381;-1.635;-1.1501;-0.3363
-1.564;-0.8944;-0.0461;-2.2861;0.3771;-1.7584;-0.1415;-2.8447;-1.6714;-0.9726
-1.1013;-2.4299;-1.1202;-2.1458;-0.3387;-0.2857;0.3874;-0.8041;-0.6371;-0.2413
1.5775;-0.8438;-0.9604;-0.9182;-2.3674;-2.1659;-1.5641;-1.7454;-1.3529;-2.0951
-0.7489;-0.9428;0.4105;0.8968;-0.023;-1.5049;0.8268;-1.6316;0.713;-3.3352
-1.6606;-1.6727;-0.5538;0.8998;-1.4427;-1.8686;0.7925;-2.5515;-2.2348;-2.073
0.7849;-1.3877;-1.5134;-2.7574;0.022;0.0089;-0.7337;-2.0256;-0.0172;-1.0143
-1.9165;-1.0373;-1.2424;-2.7448;-2.4272;0.0778;-1.0953;0.4446;-0.8555;-1.7008
0.7425;0.1688;0.3578;0.0288;-2.0858;-1.8075;0.3554;-2.5271;0.1971;-0.3214
