a;b;c;d;e;f;g;h;i;j
-3.7249;-3.6929;-3.6707;-3.5909;-3.5884;-3.4457;-3.3352;-3.2858;-3.0044;-2.9814
-2.8879;-2.8603;-2.8447;-2.7898;-2.7574;-2.7448;-2.7298;-2.5515;-2.5271;-2.4957
-2.4796;-2.4364;-2.4299;-2.4272;-2.4197;-2.3674;-2.3198;-2.2861;-2.2348;-2.2188
-2.2121;-2.2062;-2.2003;-2.1659;-2.152;-2.1458;-2.1195;-2.1106;-2.0951;-2.0858
-2.073;-2.0256;-1.9357;-1.9311;-1.917;-1.9165;-1.8872;-1.8832;-1.8686;-1.8588
-1.8317;-1.8075;-1.7584;-1.7483;-1.7454;-1.7306;-1.7126;-1.7048;-1.7008;-1.6727
-1.6714;-1.6606;-1.6443;-1.635;-1.6316;-1.5963;-1.575;-1.57;-1.5641;-1.564
-1.5611;-1.54;-1.5134;-1.5049;-1.4917;-1.4794;-1.4427;-1.3976;-1.3877;-1.3736
-1.3529;-1.346;-1.2983;-1.2689;-1.2567;-1.2424;-1.2257;-1.1868;-1.1501;-1.1484
-1.1202;-1.1013;-1.0953;-1.0683;-1.04;-1.0373;-1.037;-1.0143;-1.0015;-0.9975
-0.9785;-0.977;-0.9726;-0.9604;-0.9538;-0.9428;-0.9182;-0.9176;-0.8944;-0.8742
-0.8561;-0.8555;-0.8438;-0.8361;-0.8041;-0.8016;-0.7923;-0.7489;-0.7337;-0.7264
-0.7254;-0.7192;-0.6951;-0.6771;-0.661;-0.6497;-0.6371;-0.6254;-0.6158;-0.5977
-0.5633;-0.5538;-0.5398;-0.5096;-0.5;-0.494;-0.3987;-0.3904;-0.381;-0.3736
-0.3387;-0.3367;-0.3363;-0.3214;-0.3079;-0.2857;-0.2808;-0.2506;-0.2413;-0.196
-0.1503;-0.1483;-0.1415;-0.1357;-0.1012;-0.0833;-0.0812;-0.0461;-0.0316;-0.023
-0.0172;-0.0097;0.0089;0.022;0.0288;0.0502;0.0778;0.1688;0.1934;0.1971
0.2236;0.2774;0.308;0.3469;0.3554;0.3578;0.3771;0.38;0.3874;0.4105
0.4244;0.4446;0.5713;0.6393;0.713;0.7425;0.7428;0.7849;0.7925;0.804
0.8268;0.8968;0.8998;1.059;1.1247;1.192;1.451;1.5775;1.6007;2.0981
