;Pn;d
1;[[0.288 0.712 0.0] [0.302 0.698 0.0] [0.28 0.252 0.468]];
2;[[0.29797 0.70203 0.0] [0.29777 0.70223 0.0] [0.28778 0.49319 0.21902]];0.24898
3;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29315 0.60434 0.1025]];0.11652
4;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29564 0.65639 0.04797]];0.05453
5;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29681 0.68074 0.02245]];0.02552
6;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29735 0.69214 0.01051]];0.01194
7;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29761 0.69748 0.00492]];0.00559
8;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29773 0.69997 0.0023]];0.00262
9;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29778 0.70114 0.00108]];0.00122
10;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29781 0.70169 0.0005]];0.00057
11;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29782 0.70194 0.00024]];0.00027
12;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29783 0.70206 0.00011]];0.00013
13;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29783 0.70212 5e-05]];6e-05
14;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29783 0.70215 2e-05]];3e-05
15;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29783 0.70216 1e-05]];1e-05
16;[[0.29783 0.70217 0.0] [0.29783 0.70217 0.0] [0.29783 0.70216 1e-05]];1e-05
